epoch,accuracy,loss,val_accuracy,val_loss
0,0.3163749873638153,1.843022346496582,0.5389999747276306,1.3278529644012451
1,0.6138749718666077,1.0970464944839478,0.6875,0.8688615560531616
2,0.7214999794960022,0.7902706861495972,0.7214999794960022,0.7770904898643494
3,0.7878749966621399,0.6032620072364807,0.8054999709129333,0.5506528615951538
4,0.8075000047683716,0.5395783185958862,0.7850000262260437,0.5953837633132935
5,0.8383749723434448,0.45294326543807983,0.8274999856948853,0.5069489479064941
6,0.8531249761581421,0.41263124346733093,0.859499991,0.4198704957962036
7,0.8672500252723694,0.37594935297966003,0.843999982,0.46458521485328674
8,0.8816249966621399,0.32400497794151306,0.875,0.3587719202041626
9,0.890874982,0.2980228662490845,0.8395000100135803,0.47996291518211365
10,0.9068750143051147,0.2550791800022125,0.8650000095367432,0.40055176615715027
11,0.9051250219345093,0.2682771384716034,0.8880000114440918,0.3610639274120331
12,0.9334999918937683,0.18796232342720032,0.8755000233650208,0.36816680431365967
13,0.9352499842643738,0.18319278955459595,0.875,0.3639245629310608
14,0.9381250143051147,0.171070859,0.8840000033378601,0.35028794407844543
15,0.9488750100135803,0.1341569572687149,0.9014999866485596,0.3285323679447174
16,0.9496250152587891,0.13374829292297363,0.8884999752044678,0.3863978087902069
17,0.9521250128746033,0.13162317872047424,0.8855000138282776,0.3787599205970764
18,0.9505000114440918,0.14063990116119385,0.9104999899864197,0.29063722491264343
19,0.9588750004768372,0.11880507320165634,0.8794999718666077,0.4024088978767395
20,0.9582499861717224,0.12512952089309692,0.9125000238418579,0.29874807596206665
21,0.9610000252723694,0.10996252298355103,0.8759999871253967,0.4207991361618042
22,0.9638749957084656,0.10307034105062485,0.9079999923706055,0.32554882764816284
23,0.9660000205039978,0.096365951,0.9014999866485596,0.327519953
24,0.9747499823570251,0.070856124,0.8999999761581421,0.37053436040878296
25,0.9702500104904175,0.084697209,0.8820000290870667,0.46357491612434387
26,0.9712499976158142,0.084055863,0.9190000295639038,0.3359593451023102
27,0.984000027,0.048188884,0.890999973,0.4288347363471985
28,0.9668750166893005,0.091253668,0.8899999856948853,0.41605862975120544
